0, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
1, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
2, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
3, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
4, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
5, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
6, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
7, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
8, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
9, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
10, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
11, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
12, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
13, 0.0017074677679273786, 7, [0.09977493 0.10097059 0.10015527 0.10150503 0.1003219  0.09985884
 0.0994396  0.10153672 0.09746508 0.09897205]
